climb_slug,climb_name,country,region,side,category,length_km,elevation_gain_m,avg_grade_pct,max_grade_pct,summit_elevation_m,summit_lat,summit_lon,start_lat,start_lon,wikidata_id,cycletrip_url
passo-del-brattello,Passo del Brattello,IT,Tuscany,from Borgo Val di Taro,2,12.1,554,4.6,12.5,950,44.45826,9.82476,44.48423,9.76672,Q3897359,https://cycletrip.pro/climbs/passo-del-brattello
passo-del-brattello,Passo del Brattello,IT,Tuscany,from Pontremoli,2,17.7,686,3.9,9.3,950,44.45826,9.82476,44.38681,9.88406,Q3897359,https://cycletrip.pro/climbs/passo-del-brattello
portella-chiarino,Portella Chiarino,IT,Sicily,from Salice,2,4.3,340,7.9,14.5,830,38.18896,15.48107,38.21561,15.50608,,https://cycletrip.pro/climbs/portella-chiarino
sollube,Sollube,ES,Basque Country,from Bakio,2,6.4,370,5.8,13.9,430,43.40533,-2.76053,43.41902,-2.81138,,https://cycletrip.pro/climbs/sollube
sollube,Sollube,ES,Basque Country,from Bermeo,2,4.3,339,7.9,14.1,430,43.40533,-2.76053,43.4194,-2.73387,,https://cycletrip.pro/climbs/sollube
sollube,Sollube,ES,Basque Country,from Meñaka,3,7.5,302,4.0,11.9,430,43.40533,-2.76053,43.37335,-2.8015,,https://cycletrip.pro/climbs/sollube
alto-de-fonfria,Alto de Fonfría,ES,Galicia,from A Caniza,4,7.7,233,3.0,8.2,801,42.22823,-8.31925,42.21466,-8.27752,,https://cycletrip.pro/climbs/alto-de-fonfria
alto-de-fonfria,Alto de Fonfría,ES,Galicia,from Ponteareas,2,21.9,760,3.5,9.2,801,42.22823,-8.31925,42.1767,-8.50241,,https://cycletrip.pro/climbs/alto-de-fonfria
elurretxe,Elurretxe,ES,Basque Country,from Elizalde,3,8.0,350,4.4,11.7,502,43.29529,-1.78639,43.30644,-1.84718,,https://cycletrip.pro/climbs/elurretxe
elurretxe,Elurretxe,ES,Basque Country,from Irun,2,9.2,500,5.4,18.8,502,43.29529,-1.78639,43.33773,-1.77794,,https://cycletrip.pro/climbs/elurretxe
col-de-la-croix-des-moinats,Col de la Croix des Moinats,FR,Vosges,from Cornimont,2,5.3,375,7.1,11.0,891,47.98746,6.81698,47.96433,6.8358,Q2982171,https://cycletrip.pro/climbs/col-de-la-croix-des-moinats
